epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,313.668,1.00883,0.49644,0.00895,0.96452,0.96774,0.9889,0.72311,0.9755,0.33731,0.00801,0.00499816,0.00499816,0.00499816
153,315.725,0.90434,0.46947,0.00754,0.96295,0.90323,0.98587,0.73382,0.99474,0.35408,0.00827,0.00494634,0.00494634,0.00494634
154,318.26,1.00143,0.56173,0.00868,0.90292,1,0.98871,0.72374,1.05379,0.34156,0.00874,0.00489452,0.00489452,0.00489452
155,320.35,0.97353,0.48956,0.00807,0.96763,0.96434,0.9906,0.7037,1.0895,0.36787,0.00906,0.00484272,0.00484272,0.00484272
156,322.665,1.01131,0.48903,0.00855,0.9665,0.93086,0.9863,0.6887,1.14069,0.38825,0.00963,0.00479094,0.00479094,0.00479094
157,324.898,0.99797,0.58198,0.00853,0.99437,0.96774,0.98825,0.70662,1.0208,0.35386,0.00847,0.00473919,0.00473919,0.00473919
158,327.404,0.87831,0.47382,0.00742,0.96545,0.93548,0.98675,0.7367,1.0284,0.39755,0.00836,0.00468747,0.00468747,0.00468747
159,329.782,1.04125,0.57301,0.00847,0.88512,0.99432,0.98129,0.7137,1.04002,0.4225,0.00866,0.00463579,0.00463579,0.00463579
160,332.281,0.96719,0.50478,0.00777,0.95696,0.93548,0.98197,0.70395,1.01113,0.4132,0.00828,0.00458416,0.00458416,0.00458416
161,334.573,0.90267,0.43352,0.00791,0.96664,0.93471,0.98351,0.72378,1.00239,0.34867,0.00819,0.00453258,0.00453258,0.00453258
162,336.914,1.02457,0.56644,0.00813,0.90658,1,0.98441,0.72864,0.9662,0.36442,0.00788,0.00448106,0.00448106,0.00448106
163,339.333,0.99776,0.57592,0.00814,0.99619,0.93548,0.99136,0.73494,0.99859,0.3266,0.00823,0.0044296,0.0044296,0.0044296
164,341.625,0.90844,0.43698,0.00763,0.99072,1,0.995,0.70728,1.10527,0.31521,0.00896,0.00437821,0.00437821,0.00437821
165,343.855,0.9222,0.49131,0.00697,0.96642,0.92842,0.98551,0.69141,1.09809,0.37842,0.00901,0.00432689,0.00432689,0.00432689
166,346.001,0.89904,0.40835,0.00743,0.96762,0.9642,0.98664,0.69572,1.1183,0.38577,0.00914,0.00427565,0.00427565,0.00427565
167,348.027,0.9362,0.47905,0.00783,0.96739,0.95709,0.98945,0.71144,1.08122,0.3671,0.00892,0.00422449,0.00422449,0.00422449
168,350.359,1.00841,0.49112,0.00874,0.93929,0.99819,0.98703,0.70127,1.10046,0.36081,0.00923,0.00417343,0.00417343,0.00417343
169,352.342,0.96452,0.46351,0.00776,1,0.92566,0.99048,0.7004,1.13023,0.36795,0.0094,0.00412246,0.00412246,0.00412246
170,354.495,0.91012,0.42237,0.00739,1,0.89162,0.98691,0.71352,1.09274,0.38273,0.00915,0.0040716,0.0040716,0.0040716
171,357.004,0.96244,0.39791,0.00803,0.92208,0.96774,0.98848,0.70775,1.06443,0.37059,0.00902,0.00402084,0.00402084,0.00402084
172,359.305,0.93017,0.48414,0.00805,0.99121,0.96774,0.99406,0.70467,1.12627,0.33067,0.00933,0.00397019,0.00397019,0.00397019
173,361.661,0.90649,0.44729,0.00712,0.93786,0.97393,0.99136,0.70702,1.09696,0.34957,0.00922,0.00391966,0.00391966,0.00391966
174,363.518,1.0019,0.49841,0.00808,0.93898,0.99289,0.99028,0.72593,1.0315,0.33114,0.00868,0.00386926,0.00386926,0.00386926
175,365.739,0.97708,0.47477,0.00819,1,0.96262,0.99235,0.73943,1.0422,0.31827,0.00852,0.00381899,0.00381899,0.00381899
176,367.896,0.95135,0.43795,0.00864,0.99231,1,0.995,0.7426,1.00641,0.30733,0.0083,0.00376885,0.00376885,0.00376885
177,370.188,0.99909,0.60661,0.00825,0.91098,0.99052,0.98948,0.7336,1.01907,0.3417,0.00837,0.00371885,0.00371885,0.00371885
178,372.712,0.91936,0.43002,0.00729,0.96768,0.96594,0.99219,0.73285,1.02011,0.32538,0.00848,0.00366899,0.00366899,0.00366899
179,374.833,0.89209,0.4041,0.00674,0.98965,0.93548,0.98971,0.73177,1.05176,0.36875,0.00872,0.00361929,0.00361929,0.00361929
180,377.176,0.92158,0.39198,0.00829,1,0.95957,0.99235,0.7328,1.02139,0.31093,0.00837,0.00356975,0.00356975,0.00356975
